,user,mode,game,iter,performance_mean,performance_std,frequency_overall,frequency_good_bad,timing_overall,timing_good,timing_bad,timing_good_indices,timing_bad_indices
33,Red,retrospective,mc,1,0.4918726945916812,0.010665504731706027,0.022388059701492536,2.0,37.666666666666664,36.5,40.0,"67, 6",40
34,Red,retrospective,mc,2,0.4957198712560865,0.012874196216801583,0.02666666666666667,0.14285714285714285,151.5,264.0,135.42857142857142,264,"222, 174, 155, 137, 115, 91, 54"
35,Red,retrospective,mc,3,0.3927652849091425,0.02937317414829069,0.013333333333333334,0.0,123.5,-1.0,123.5,,"210, 145, 97, 42"
36,Something,retrospective,snake,1,1.04,0.19595917942265428,0.41,1.05,43.146341463414636,37.42857142857143,49.15,"92, 90, 83, 65, 63, 61, 45, 43, 34, 33, 31, 29, 25, 23, 21, 14, 12, 10, 8, 3, 1","85, 81, 79, 77, 75, 70, 68, 56, 54, 52, 51, 42, 40, 38, 36, 27, 19, 18, 16, -1"
37,Something,retrospective,snake,2,1.04,0.19595917942265426,0.38,1.1111111111111112,48.31578947368421,47.7,49.0,"91, 87, 84, 80, 76, 72, 69, 65, 61, 57, 48, 44, 38, 27, 21, 15, 11, 7, 2, -1","89, 86, 82, 78, 74, 70, 67, 63, 55, 50, 45, 40, 32, 24, 14, 9, 4, 0"
38,Something,retrospective,snake,3,1.04,0.19595917942265423,0.41,1.05,40.5609756097561,40.904761904761905,40.2,"89, 84, 78, 72, 67, 62, 57, 53, 48, 44, 40, 36, 32, 27, 23, 18, 13, 9, 6, 2, -1","86, 80, 74, 69, 64, 59, 54, 50, 46, 42, 37, 33, 29, 24, 20, 15, 11, 7, 4, 0"
39,Something,retrospective,ttt,1,-0.03,0.9844287683728061,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
40,Something,retrospective,ttt,2,-0.03,0.9945350672550466,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
41,Something,retrospective,ttt,3,-0.12,0.9826494797230598,-1.0,-1.0,-1.0,-1.0,-1.0,None,None
42,Something,retrospective,mc,1,0.6194873031642701,0.1544736081077644,0.02097902097902098,inf,65.0,65.0,-1.0,"103, 66, 26",
